"","chromosome","start","end","sampleFrequency","gainFrequency","lossFrequency","gainProportion","lossProportion"
"2596","chr17",17800310,17805453,31,0,0,0,0
"2597","chr17",17805454,17806278,31,0,0,0,0
"2598","chr9",17803514,17808331,31,1,0,0.032258064516129,0
"2599","chr9",17808332,17810090,31,1,0,0.032258064516129,0
"2600","chr9",17810091,17812565,31,1,0,0.032258064516129,0
"2601","chr9",17812566,17815624,31,1,0,0.032258064516129,0
"2602","chr9",17815625,17816079,31,1,0,0.032258064516129,0
"2603","chr9",17816080,17831642,31,1,0,0.032258064516129,0
"2604","chr9",17831643,17839795,31,0,0,0,0
"2605","chr9",17839796,17841070,31,0,0,0,0
"2606","chr9",17841071,17841145,31,0,0,0,0
"2607","chr9",17841146,17841443,31,0,0,0,0
"2608","chr9",17841444,17841593,31,0,0,0,0
"2609","chr9",17841594,17841668,31,0,0,0,0
"2610","chr9",17841669,17842943,31,0,0,0,0
"2611","chr2",17180668,17848016,31,0,0,0,0
"2612","chr2",17848017,17848091,31,0,3,0,0.0967741935483871
"2613","chr2",17848092,17849296,31,0,7,0,0.225806451612903
"2614","chr11",17646561,17874836,31,0,0,0,0
"2615","chr11",17874837,17875598,31,5,0,0.161290322580645,0
"2616","chr11",17875599,17875731,31,4,0,0.129032258064516,0
"2617","chr11",17875732,17876984,31,2,0,0.0645161290322581,0
"2618","chr11",17876985,17879378,31,0,0,0,0
"2619","chrX",17209626,17880899,31,0,0,0,0
"2620","chr18",17735951,17883069,31,0,0,0,0
"2621","chr16",17667787,17900321,31,0,0,0,0
"2622","chr11",17879379,17900514,31,5,0,0.161290322580645,0
"2623","chr16",17900322,17901482,31,0,2,0,0.0645161290322581
"2624","chr1",16846373,17934033,31,0,0,0,0
"2625","chrX",17880900,17949522,31,0,0,0,0
"2626","chr18",17883070,17983377,31,0,0,0,0
"2627","chr1",17934034,17987393,31,0,0,0,0
"2628","chr18",17983378,18015307,31,0,0,0,0
"2629","chr5",17740591,18024674,31,0,0,0,0
"2630","chr5",18024675,18024755,31,2,0,0.0645161290322581,0
"2631","chr5",18024756,18028220,31,4,0,0.129032258064516,0
"2632","chr17",17806279,18028527,31,0,0,0,0
"2633","chr17",18028528,18028602,31,1,0,0.032258064516129,0
"2634","chr12",17596285,18028831,31,0,0,0,0
"2635","chr17",18028603,18029127,31,2,0,0.0645161290322581,0
"2636","chr17",18029128,18029202,31,1,0,0.032258064516129,0
"2637","chr1",17987394,18037238,31,0,0,0,0
"2638","chr12",18028832,18044638,31,0,0,0,0
"2639","chr12",18044639,18050305,31,0,0,0,0
"2640","chr9",17842944,18065485,31,0,0,0,0
"2641","chr5",18028221,18074854,31,0,0,0,0
"2642","chr10",17646314,18075573,31,0,0,0,0
"2643","chr5",18074855,18077037,31,4,0,0.129032258064516,0
"2644","chr10",18075574,18077492,31,0,0,0,0
"2645","chr17",18029203,18081592,31,0,0,0,0
"2646","chr10",18077493,18097108,31,0,0,0,0
"2647","chr10",18097109,18097183,31,0,0,0,0
"2648","chr8",17463656,18116808,31,0,0,0,0
"2649","chr8",18116809,18116958,31,0,1,0,0.032258064516129
"2650","chr8",18116959,18117108,31,0,2,0,0.0645161290322581
"2651","chr10",18097184,18119089,31,0,0,0,0
"2652","chr10",18119090,18119314,31,0,0,0,0
"2653","chr12",18050306,18133539,31,0,0,0,0
"2654","chr12",18133540,18133839,31,0,0,0,0
"2655","chr8",18117109,18135155,31,0,5,0,0.161290322580645
"2656","chr8",18135156,18135974,31,0,4,0,0.129032258064516
"2657","chr12",18133840,18148685,31,0,0,0,0
"2658","chr1",18037239,18150066,31,0,0,0,0
"2659","chr10",18119315,18158663,31,0,0,0,0
"2660","chr12",18148686,18168804,31,0,0,0,0
"2661","chr12",18168805,18169130,31,0,0,0,0
"2662","chrX",17949523,18208561,31,0,0,0,0
"2663","chr20",16349134,18211334,31,0,0,0,0
"2664","chr14",17651045,18211499,31,0,0,0,0
"2665","chr20",18211335,18214128,31,0,4,0,0.129032258064516
"2666","chr20",18214129,18216423,31,0,12,0,0.387096774193548
"2667","chr20",18216424,18216533,31,0,10,0,0.32258064516129
"2668","chrX",18208562,18218748,31,0,0,0,0
"2669","chrX",18218749,18255705,31,0,0,0,0
"2670","chrX",18255706,18256006,31,0,0,0,0
"2671","chr8",18135975,18256188,31,0,0,0,0
"2672","chr8",18256189,18261265,30,0,0,0,0
"2673","chrX",18256007,18261409,31,0,0,0,0
"2674","chr14",18211500,18288462,31,0,0,0,0
"2675","chr14",18288463,18309167,31,0,0,0,0
"2676","chr17",18081593,18347261,31,0,0,0,0
"2677","chr17",18347262,18347411,31,0,0,0,0
"2678","chr17",18347412,18347486,31,0,0,0,0
"2679","chr20",18216534,18348912,31,0,0,0,0
"2680","chr17",18347487,18358338,31,0,0,0,0
"2681","chr17",18358339,18359470,31,1,0,0.032258064516129,0
"2682","chr17",18359471,18369282,31,0,0,0,0
"2683","chr17",18369283,18369409,31,0,0,0,0
"2684","chr7",16598809,18372655,31,0,0,0,0
"2685","chr7",18372656,18373222,31,0,0,0,0
"2686","chr8",18261266,18408143,31,0,1,0,0.032258064516129
"2687","chr10",18158664,18413750,31,0,0,0,0
"2688","chr10",18413751,18414500,31,0,1,0,0.032258064516129
"2689","chr20",18348913,18438275,31,0,0,0,0
"2690","chr17",18369410,18443741,31,0,0,0,0
"2691","chr16",17901483,18450981,31,0,0,0,0
"2692","chr7",18373223,18452730,31,0,0,0,0
"2693","chr20",18438276,18482126,31,0,0,0,0
"2694","chr20",18482127,18487782,31,0,0,0,0
"2695","chr20",18487783,18490032,31,1,0,0.032258064516129,0
"2696","chr20",18490033,18496800,31,2,0,0.0645161290322581,0
"2697","chr10",18414501,18501438,31,0,0,0,0
"2698","chr12",18169131,18501618,31,0,0,0,0
"2699","chr20",18496801,18502126,31,1,0,0.032258064516129,0
"2700","chr20",18502127,18502720,31,0,0,0,0
"2701","chr12",18501619,18512455,31,1,0,0.032258064516129,0
"2702","chr12",18512456,18514825,31,2,0,0.0645161290322581,0
"2703","chr12",18514826,18518060,31,3,0,0.0967741935483871,0
"2704","chr15",17749699,18523055,31,0,0,0,0
"2705","chr15",18523056,18523776,31,0,0,0,0
"2706","chr12",18518061,18529875,31,2,0,0.0645161290322581,0
"2707","chr12",18529876,18530850,31,3,0,0.0967741935483871,0
"2708","chr9",18065486,18531828,31,0,0,0,0
"2709","chr12",18530851,18532875,31,3,0,0.0967741935483871,0
"2710","chr12",18532876,18539777,31,2,0,0.0645161290322581,0
"2711","chr12",18539778,18547671,31,1,0,0.032258064516129,0
"2712","chr12",18547672,18548646,31,0,0,0,0
"2713","chr10",18501439,18551504,31,0,0,0,0
"2714","chr12",18548647,18562352,31,0,0,0,0
"2715","chr7",18452731,18573292,31,0,0,0,0
"2716","chr7",18573293,18585212,31,0,0,0,0
"2717","chr7",18585213,18623964,31,0,0,0,0
"2718","chr2",17849297,18639233,31,0,0,0,0
"2719","chr2",18639234,18639309,31,1,0,0.032258064516129,0
"2720","chr2",18639310,18639834,31,10,0,0.32258064516129,0
"2721","chr12",18562353,18685979,31,0,0,0,0
"2722","chr20",18502721,18687316,31,0,0,0,0
"2723","chr20",18687317,18687391,31,0,0,0,0
"2724","chr20",18687392,18687841,31,0,0,0,0
"2725","chr20",18687842,18695672,31,0,0,0,0
"2726","chr7",18623965,18708570,31,0,0,0,0
"2727","chr7",18708571,18714128,31,0,0,0,0
"2728","chr12",18685980,18714931,31,0,0,0,0
"2729","chr12",18714932,18715251,31,0,0,0,0
"2730","chr2",18639835,18735804,31,0,0,0,0
"2731","chr2",18735805,18737074,31,6,0,0.193548387096774,0
"2732","chr7",18714129,18748645,31,0,0,0,0
"2733","chr12",18715252,18759126,31,0,0,0,0
"2734","chr7",18748646,18759555,31,0,0,0,0
"2735","chr12",18759127,18764094,31,0,0,0,0
"2736","chr7",18759556,18764244,31,0,0,0,0
"2737","chr12",18764095,18766203,31,0,0,0,0
"2738","chr6",17421108,18799814,31,0,0,0,0
"2739","chr10",18551505,18802019,31,0,0,0,0
"2740","chr10",18802020,18802544,31,0,1,0,0.032258064516129
"2741","chr10",18802545,18803219,31,0,2,0,0.0645161290322581
"2742","chr10",18803220,18803294,31,0,7,0,0.225806451612903
"2743","chr10",18803295,18803369,31,0,11,0,0.354838709677419
"2744","chr10",18803370,18803519,31,0,14,0,0.451612903225806
"2745","chr10",18803520,18803669,31,0,15,0,0.483870967741935
"2746","chr10",18803670,18803894,31,0,16,0,0.516129032258065
"2747","chr10",18803895,18806447,31,0,17,0,0.548387096774194
"2748","chr10",18806448,18806522,31,0,14,0,0.451612903225806
"2749","chr6",18799815,18822158,31,0,0,0,0
"2750","chr6",18822159,18861590,31,0,0,0,0
"2751","chr15",18523777,18905052,31,0,0,0,0
"2752","chr16",18450982,18923360,31,0,0,0,0
"2753","chr16",18923361,18923660,31,0,0,0,0
"2754","chr15",18905053,18924608,31,0,0,0,0
"2755","chr16",18923661,18951835,31,0,0,0,0
"2756","chr6",18861591,18990087,31,0,0,0,0
"2757","chr6",18990088,18991212,30,0,0,0,0
"2758","chr14",18309168,19022827,31,0,0,0,0
"2759","chr14",19022828,19036994,31,0,0,0,0
"2760","chr14",19036995,19037219,31,0,0,0,0
"2761","chr14",19037220,19037387,31,0,0,0,0
"2762","chr16",18951836,19052329,31,0,0,0,0
"2763","chr16",19052330,19111599,31,0,0,0,0
"2764","chr9",18531829,19123156,31,0,0,0,0
"2765","chr17",18443742,19129563,31,0,0,0,0
"2766","chr14",19037388,19163928,31,0,0,0,0
"2767","chr12",18766204,19185869,31,0,0,0,0
"2768","chr12",19185870,19186983,31,0,0,0,0
"2769","chr14",19163929,19189489,31,0,0,0,0
"2770","chr12",19186984,19191439,28,0,0,0,0
"2771","chr2",18737075,19192490,31,0,0,0,0
"2772","chr2",19192491,19192565,31,0,2,0,0.0645161290322581
"2773","chr2",19192566,19194729,31,0,15,0,0.483870967741935
"2774","chr14",19189490,19292390,31,0,0,0,0
"2775","chrX",18261410,19293194,31,0,0,0,0
"2776","chr12",19191440,19294275,31,0,0,0,0
"2777","chr12",19294276,19294425,31,0,0,0,0
"2778","chr14",19292391,19297416,31,0,0,0,0
"2779","chrX",19293195,19298673,31,0,0,0,0
"2780","chr19",17676612,19309648,31,0,0,0,0
"2781","chr9",19123157,19313560,31,0,0,0,0
"2782","chr9",19313561,19317626,31,0,0,0,0
"2783","chr5",18077038,19322391,31,0,0,0,0
"2784","chr5",19322392,19322466,31,0,0,0,0
"2785","chr12",19294426,19335688,31,0,0,0,0
"2786","chr12",19335689,19351125,31,0,0,0,0
"2787","chr12",19351126,19352205,27,0,0,0,0
"2788","chr16",19111600,19365931,31,0,0,0,0
"2789","chr16",19365932,19366240,31,0,0,0,0
"2790","chr11",17900515,19385410,31,0,0,0,0
"2791","chr11",19385411,19385485,31,0,4,0,0.129032258064516
"2792","chr11",19385486,19385560,31,0,6,0,0.193548387096774
"2793","chr11",19385561,19387066,31,0,8,0,0.258064516129032
"2794","chr11",19387067,19387215,31,0,5,0,0.161290322580645
"2795","chr9",19317627,19401150,31,0,0,0,0
"2796","chr16",19366241,19404909,31,0,0,0,0
"2797","chr12",19352206,19417743,31,0,0,0,0
"2798","chr14",19297417,19418964,31,0,0,0,0
"2799","chr14",19418965,19458758,31,0,0,0,0
"2800","chr14",19458759,19458833,31,0,0,0,0
"2801","chr14",19458834,19459103,31,0,0,0,0
"2802","chr18",18015308,19471665,31,0,0,0,0
"2803","chr18",19471666,19472115,31,1,0,0.032258064516129,0
"2804","chr18",19472116,19472190,31,1,3,0.032258064516129,0.0967741935483871
"2805","chr18",19472191,19476485,31,1,8,0.032258064516129,0.258064516129032
"2806","chr18",19476486,19476487,23,1,0,0.032258064516129,0
"2807","chr18",19476488,19477397,31,1,0,0.032258064516129,0
"2808","chr12",19417744,19479931,31,0,0,0,0
"2809","chr9",19401151,19494456,31,0,0,0,0
"2810","chr18",19477398,19499634,31,0,0,0,0
"2811","chr18",19499635,19504266,31,0,1,0,0.032258064516129
"2812","chr18",19504267,19504890,31,0,8,0,0.258064516129032
"2813","chr12",19479932,19560563,31,0,0,0,0
"2814","chr12",19560564,19565790,29,0,0,0,0
"2815","chr5",19322467,19587963,31,0,0,0,0
"2816","chr5",19587964,19588939,31,9,0,0.290322580645161,0
"2817","chr12",19565791,19600204,31,0,0,0,0
"2818","chr12",19600205,19612035,31,0,0,0,0
"2819","chr12",19612036,19612110,31,0,0,0,0
"2820","chr12",19612111,19612877,31,0,0,0,0
"2821","chr10",18806523,19621890,31,0,0,0,0
"2822","chr5",19588940,19622205,31,0,0,0,0
"2823","chr14",19459104,19638323,31,0,0,0,0
"2824","chr5",19622206,19640557,31,4,0,0.129032258064516,0
"2825","chr15",18924609,19653450,31,0,0,0,0
"2826","chr15",19653451,19653600,31,0,0,0,0
"2827","chr16",19404910,19657335,31,0,0,0,0
"2828","chr16",19657336,19664036,28,0,0,0,0
"2829","chr16",19664037,19664264,30,0,0,0,0
"2830","chr10",19621891,19671363,31,0,0,0,0
"2831","chr15",19653601,19741105,31,0,0,0,0
"2832","chr20",18695673,19756560,31,0,0,0,0
"2833","chr20",19756561,19756734,31,0,3,0,0.0967741935483871
"2834","chr16",19664265,19756838,31,0,0,0,0
"2835","chr20",19756735,19756891,31,0,8,0,0.258064516129032
"2836","chr20",19756892,19756966,31,0,10,0,0.32258064516129
"2837","chr16",19756839,19756989,31,0,0,0,0
"2838","chr20",19756967,19757491,31,0,11,0,0.354838709677419
"2839","chr16",19756990,19757889,31,1,0,0.032258064516129,0
"2840","chr16",19757890,19758945,31,1,0,0.032258064516129,0
"2841","chr20",19757492,19760499,31,0,12,0,0.387096774193548
"2842","chr20",19760500,19760711,31,0,2,0,0.0645161290322581
"2843","chr20",19760712,19761161,31,0,1,0,0.032258064516129
"2844","chr20",19761162,19777239,31,0,0,0,0
"2845","chr16",19758946,19777722,31,1,0,0.032258064516129,0
"2846","chr16",19777723,19777947,31,1,0,0.032258064516129,0
"2847","chr16",19777948,19788597,31,1,0,0.032258064516129,0
"2848","chr16",19788598,19796174,31,0,0,0,0
"2849","chr19",19309649,19818923,31,0,0,0,0
"2850","chr19",19818924,19819571,31,0,0,0,0
"2851","chr20",19777240,19838655,31,0,0,0,0
"2852","chr20",19838656,19842137,31,0,1,0,0.032258064516129
"2853","chr20",19842138,19850444,31,0,0,0,0
"2854","chr20",19850445,19853706,31,0,0,0,0
"2855","chr20",19853707,19854081,31,0,1,0,0.032258064516129
"2856","chr16",19796175,19868938,31,0,0,0,0
"2857","chr16",19868939,19873397,31,0,0,0,0
"2858","chr15",19741106,19875807,31,0,0,0,0
"2859","chr15",19875808,19876107,31,0,0,0,0
"2860","chr16",19873398,19878020,31,1,0,0.032258064516129,0
"2861","chr16",19878021,19885944,31,0,0,0,0
"2862","chr19",19819572,19892679,31,0,0,0,0
"2863","chr16",19885945,19893913,31,0,0,0,0
"2864","chr15",19876108,19906565,31,0,0,0,0
"2865","chr15",19906566,19906694,31,0,0,0,0
"2866","chrX",19298674,19918559,31,0,0,0,0
"2867","chr19",19892680,19927971,31,0,0,0,0
"2868","chr19",19927972,19932803,31,0,0,0,0
"2869","chr20",19854082,20019983,31,0,0,0,0
"2870","chr20",20019984,20058340,31,0,0,0,0
"2871","chr12",19612878,20061384,31,0,0,0,0
"2872","chr16",19893914,20071961,31,0,0,0,0
"2873","chr11",19387216,20079742,31,0,0,0,0
"2874","chr11",20079743,20081848,31,0,6,0,0.193548387096774
"2875","chr11",20081849,20084656,31,0,5,0,0.161290322580645
"2876","chr16",20071962,20085461,31,0,0,0,0
"2877","chr16",20085462,20089545,31,0,0,0,0
"2878","chrX",19918560,20094633,31,0,0,0,0
"2879","chr15",19906695,20128886,31,0,0,0,0
"2880","chr16",20089546,20159496,31,0,0,0,0
"2881","chr2",19194730,20211044,31,0,0,0,0
"2882","chr2",20211045,20212095,31,7,0,0.225806451612903,0
"2883","chr12",20061385,20217210,31,0,0,0,0
"2884","chr12",20217211,20222849,31,1,0,0.032258064516129,0
"2885","chr16",20159497,20257482,31,0,0,0,0
"2886","chr12",20222850,20262545,31,1,1,0.032258064516129,0.032258064516129
"2887","chr16",20257483,20263245,31,0,0,0,0
"2888","chr16",20263246,20275067,31,0,0,0,0
"2889","chr16",20275068,20275592,31,0,0,0,0
"2890","chr12",20262546,20291099,31,1,0,0.032258064516129,0
"2891","chr12",20291100,20334348,31,1,2,0.032258064516129,0.0645161290322581
"2892","chr16",20275593,20351926,31,0,0,0,0
"2893","chr16",20351927,20352901,31,1,0,0.032258064516129,0
"2894","chr17",19129564,20356243,31,0,0,0,0
"2895","chr19",19932804,20357005,31,0,0,0,0
"2896","chr17",20356244,20368008,31,1,0,0.032258064516129,0
"2897","chr12",20334349,20376702,31,1,3,0.032258064516129,0.0967741935483871
"2898","chr9",19494457,20386822,31,0,0,0,0
"2899","chr9",20386823,20387531,31,0,0,0,0
"2900","chr12",20376703,20393217,30,1,3,0.032258064516129,0.0967741935483871
"2901","chr20",20058341,20418008,31,0,0,0,0
"2902","chr2",20212096,20418405,31,0,0,0,0
"2903","chr2",20418406,20441843,31,0,0,0,0
"2904","chr16",20352902,20481758,31,0,0,0,0
"2905","chr12",20393218,20487692,31,1,4,0.032258064516129,0.129032258064516
"2906","chr16",20481759,20522919,31,1,0,0.032258064516129,0
"2907","chr12",20487693,20531229,31,1,5,0.032258064516129,0.161290322580645
"2908","chr12",20531230,20535190,31,1,6,0.032258064516129,0.193548387096774
"2909","chr20",20418009,20561930,31,0,0,0,0
"2910","chr10",19671364,20573588,31,0,0,0,0
"2911","chr12",20535191,20584604,31,1,5,0.032258064516129,0.161290322580645
"2912","chr2",20441844,20593090,31,0,0,0,0
"2913","chr2",20593091,20603729,31,0,7,0,0.225806451612903
"2914","chr2",20603730,20611122,31,3,7,0.0967741935483871,0.225806451612903
"2915","chr2",20611123,20614522,31,5,8,0.161290322580645,0.258064516129032
"2916","chr2",20614523,20614597,31,4,8,0.129032258064516,0.258064516129032
"2917","chr12",20584605,20616963,31,1,5,0.032258064516129,0.161290322580645
"2918","chr12",20616964,20628076,31,1,11,0.032258064516129,0.354838709677419
"2919","chr16",20522920,20634581,31,0,0,0,0
"2920","chr16",20634582,20641195,31,0,0,0,0
"2921","chr16",20641196,20641795,31,1,0,0.032258064516129,0
"2922","chr16",20641796,20642545,31,2,0,0.0645161290322581,0
"2923","chr15",20128887,20651645,31,0,0,0,0
"2924","chr15",20651646,20651720,31,0,1,0,0.032258064516129
"2925","chr15",20651721,20651945,31,0,14,0,0.451612903225806
"2926","chr16",20642546,20656972,31,1,0,0.032258064516129,0
"2927","chr12",20628077,20659609,31,1,13,0.032258064516129,0.419354838709677
"2928","chr12",20659610,20661392,31,1,13,0.032258064516129,0.419354838709677
"2929","chr12",20661393,20662245,31,1,13,0.032258064516129,0.419354838709677
"2930","chr12",20662246,20664846,31,1,13,0.032258064516129,0.419354838709677
"2931","chr10",20573589,20666985,31,0,0,0,0
"2932","chr12",20664847,20673837,31,1,13,0.032258064516129,0.419354838709677
"2933","chr12",20673838,20683394,31,1,13,0.032258064516129,0.419354838709677
"2934","chr16",20656973,20686228,31,0,0,0,0
"2935","chr16",20686229,20701418,31,0,0,0,0
"2936","chr16",20701419,20701568,31,0,0,0,0
"2937","chr16",20701569,20701643,31,0,0,0,0
"2938","chr16",20701644,20704791,31,0,0,0,0
"2939","chr10",20666986,20724796,31,0,0,0,0
"2940","chr10",20724797,20725399,31,0,0,0,0
"2941","chr12",20683395,20795101,31,1,13,0.032258064516129,0.419354838709677
"2942","chr13",15414132,20796658,31,0,0,0,0
"2943","chr12",20795102,20799063,31,1,13,0.032258064516129,0.419354838709677
"2944","chr12",20799064,20799246,30,1,12,0.032258064516129,0.387096774193548
"2945","chr16",20704792,20799510,31,0,0,0,0
"2946","chr12",20799247,20802923,31,1,13,0.032258064516129,0.419354838709677
"2947","chrX",20094634,20804826,31,0,0,0,0
"2948","chr9",20387532,20805761,31,0,0,0,0
"2949","chr13",20796659,20809789,31,0,1,0,0.032258064516129
"2950","chr12",20802924,20815325,27,1,9,0.032258064516129,0.290322580645161
"2951","chr20",20561931,20820800,31,0,0,0,0
"2952","chr20",20820801,20821917,31,0,0,0,0
"2953","chr12",20815326,20824144,31,1,9,0.032258064516129,0.290322580645161
"2954","chrX",20804827,20824243,31,0,0,0,0
"2955","chr9",20805762,20828235,31,0,0,0,0
"2956","chr9",20828236,20828685,31,0,0,0,0
"2957","chr10",20725400,20829870,31,0,0,0,0
"2958","chr4",17669817,20852235,31,0,0,0,0
"2959","chr4",20852236,20853135,31,1,0,0.032258064516129,0
"2960","chrX",20824244,20857298,31,0,0,0,0
"2961","chr12",20824145,20861702,31,1,6,0.032258064516129,0.193548387096774
"2962","chr20",20821918,20868256,31,0,0,0,0
"2963","chr20",20868257,20868631,31,8,0,0.258064516129032,0
"2964","chr16",20799511,20869848,31,0,0,0,0
"2965","chrX",20857299,20874766,31,0,0,0,0
"2966","chrX",20874767,20882261,31,1,0,0.032258064516129,0
"2967","chrX",20882262,20885492,31,0,0,0,0
"2968","chrX",20885493,20885723,31,0,0,0,0
"2969","chr16",20869849,20890306,31,0,0,0,0
"2970","chrX",20885724,20898884,31,0,0,0,0
"2971","chrX",20898885,20901217,31,0,0,0,0
"2972","chr3",17095171,20901282,31,0,0,0,0
"2973","chr3",20901283,20901518,31,0,3,0,0.0967741935483871
"2974","chr12",20861703,20901641,31,1,4,0.032258064516129,0.129032258064516
"2975","chr3",20901519,20901841,31,0,4,0,0.129032258064516
"2976","chr3",20901842,20901916,31,0,6,0,0.193548387096774
"2977","chr3",20901917,20902250,31,0,8,0,0.258064516129032
"2978","chr3",20902251,20902404,31,1,8,0.032258064516129,0.258064516129032
"2979","chr3",20902405,20902886,31,1,8,0.032258064516129,0.258064516129032
"2980","chr3",20902887,20904631,31,3,8,0.0967741935483871,0.258064516129032
"2981","chr3",20904632,20904909,31,3,8,0.0967741935483871,0.258064516129032
"2982","chr3",20904910,20904987,31,3,8,0.0967741935483871,0.258064516129032
"2983","chr3",20904988,20905062,31,3,8,0.0967741935483871,0.258064516129032
"2984","chr3",20905063,20908487,31,3,8,0.0967741935483871,0.258064516129032
"2985","chr3",20908488,20908576,31,3,6,0.0967741935483871,0.193548387096774
"2986","chr3",20908577,20908951,31,2,0,0.0645161290322581,0
"2987","chr2",20614598,20923451,31,0,0,0,0
"2988","chr11",20084657,20923493,31,0,0,0,0
"2989","chr2",20923452,20923814,31,5,0,0.161290322580645,0
"2990","chr11",20923494,20930041,31,0,6,0,0.193548387096774
"2991","chr14",19638324,20941518,31,0,0,0,0
"2992","chr14",20941519,20941893,31,0,0,0,0
"2993","chr14",20941894,20942046,31,0,0,0,0
"2994","chr6",18991213,20950090,31,0,0,0,0
"2995","chr6",20950091,20950165,31,0,1,0,0.032258064516129
"2996","chr6",20950166,20951065,31,0,19,0,0.612903225806452
"2997","chrX",20901218,20995771,31,0,0,0,0
"2998","chr20",20868632,21013488,31,0,0,0,0
"2999","chr20",21013489,21014014,31,18,0,0.580645161290323,0
"3000","chr15",20651946,21026253,31,0,0,0,0
"3001","chr20",21014015,21026590,31,0,0,0,0
"3002","chr15",21026254,21027652,31,0,1,0,0.032258064516129
"3003","chr15",21027653,21027727,31,0,1,0,0.032258064516129
"3004","chr15",21027728,21027877,31,0,1,0,0.032258064516129
"3005","chr20",21026591,21028126,31,2,0,0.0645161290322581,0
"3006","chr15",21027878,21031652,31,0,1,0,0.032258064516129
"3007","chr15",21031653,21033563,30,0,1,0,0.032258064516129
"3008","chr15",21033564,21035989,28,0,2,0,0.0645161290322581
"3009","chr15",21035990,21036064,31,0,2,0,0.0645161290322581
"3010","chr15",21036065,21036664,31,0,2,0,0.0645161290322581
"3011","chr16",20890307,21047931,31,0,0,0,0
"3012","chr16",21047932,21064431,31,0,0,0,0
"3013","chr17",20368009,21080573,31,0,0,0,0
"3014","chr17",21080574,21081773,31,9,0,0.290322580645161,0
"3015","chr16",21064432,21115881,31,0,0,0,0
"3016","chr3",20908952,21141720,31,0,0,0,0
"3017","chr3",21141721,21141795,31,0,1,0,0.032258064516129
"3018","chr3",21141796,21141949,31,0,5,0,0.161290322580645
"3019","chr3",21141950,21145686,31,0,6,0,0.193548387096774
"3020","chr3",21145687,21145761,31,0,4,0,0.129032258064516
"3021","chr3",21145762,21145836,31,0,3,0,0.0967741935483871
"3022","chr3",21145837,21145986,31,0,1,0,0.032258064516129
"3023","chr12",20901642,21168398,31,1,3,0.032258064516129,0.0967741935483871
"3024","chr12",21168399,21169528,31,1,2,0.032258064516129,0.0645161290322581
"3025","chr12",21169529,21170231,30,1,1,0.032258064516129,0.032258064516129
"3026","chr12",21170232,21174082,31,1,1,0.032258064516129,0.032258064516129
"3027","chr16",21115882,21176981,31,0,0,0,0
"3028","chr12",21174083,21177236,31,0,1,0,0.032258064516129
"3029","chr16",21176982,21177806,31,1,0,0.032258064516129,0
"3030","chr12",21177237,21178807,29,0,0,0,0
"3031","chr12",21178808,21184990,31,0,0,0,0
"3032","chr6",20951066,21187600,31,0,0,0,0
"3033","chr6",21187601,21189278,31,2,0,0.0645161290322581,0
"3034","chr6",21189279,21189503,31,1,0,0.032258064516129,0
"3035","chr16",21177807,21198085,31,0,0,0,0
"3036","chr19",20357006,21202574,31,0,0,0,0
"3037","chr19",21202575,21202952,31,0,0,0,0
"3038","chr12",21184991,21203636,31,0,1,0,0.032258064516129
"3039","chr14",20942047,21205524,31,0,0,0,0
"3040","chr14",21205525,21205674,31,0,0,0,0
"3041","chr14",21205675,21206124,31,0,0,0,0
"3042","chr19",21202953,21232659,31,0,0,0,0
"3043","chrX",20995772,21254975,31,0,0,0,0
"3044","chrX",21254976,21257706,31,0,1,0,0.032258064516129
"3045","chrX",21257707,21257724,28,0,1,0,0.032258064516129
"3046","chrX",21257725,21257874,31,0,4,0,0.129032258064516
"3047","chrX",21257875,21259971,31,0,8,0,0.258064516129032
"3048","chrX",21259972,21260346,31,0,7,0,0.225806451612903
"3049","chrX",21260347,21260421,31,0,3,0,0.0967741935483871
"3050","chrX",21260422,21260496,31,0,2,0,0.0645161290322581
"3051","chrX",21260497,21260571,31,0,1,0,0.032258064516129
"3052","chr16",21198086,21272575,31,0,0,0,0
"3053","chr16",21272576,21275819,31,1,0,0.032258064516129,0
"3054","chr19",21232660,21285729,31,0,0,0,0
"3055","chr19",21285730,21298517,31,0,0,0,0
"3056","chr19",21298518,21299267,31,0,8,0,0.258064516129032
"3057","chr16",21275820,21299731,31,0,0,0,0
"3058","chr15",21036665,21322281,31,0,2,0,0.0645161290322581
"3059","chr12",21203637,21322710,31,0,0,0,0
"3060","chr16",21299732,21341649,31,0,0,0,0
"3061","chr8",18408144,21358508,31,0,0,0,0
"3062","chr8",21358509,21358589,31,0,1,0,0.032258064516129
"3063","chr8",21358590,21359196,31,0,2,0,0.0645161290322581
"3064","chr20",21028127,21361957,31,0,0,0,0
"3065","chr20",21361958,21362257,31,0,0,0,0
"3066","chr20",21362258,21364318,31,0,0,0,0
"3067","chr8",21359197,21367421,31,0,3,0,0.0967741935483871
"3068","chr8",21367422,21377009,31,0,0,0,0
"3069","chr12",21322711,21424495,31,1,0,0.032258064516129,0
"3070","chr9",20828686,21436752,31,0,0,0,0
"3071","chr8",21377010,21443330,31,0,0,0,0
"3072","chr3",21145987,21454612,31,0,0,0,0
"3073","chr16",21341650,21470657,31,0,0,0,0
"3074","chr12",21424496,21470698,31,1,3,0.032258064516129,0.0967741935483871
"3075","chr12",21470699,21471898,31,1,3,0.032258064516129,0.0967741935483871
"3076","chr3",21454613,21483889,31,0,0,0,0
