"","Observed.score","Pvalue","Adjusted.Pvalue","Leading.Edge"
"NReproduction_FSH-beta signaling pathway",-0.305090824136095,0.68,0.852196197878374,"207;7040;2491;7052;773;5566;5595;801;4609;3623;3479;10272;3486;5087;652;2118"
"NApoptosis_Anti-Apoptosis mediated by external signals by Estrogen",-0.274406162425826,0.7,0.862227727882729,"207;332;4846;2876;1535;4609;775"
"NCardiac development_Wnt_beta-catenin, Notch, VEGF, IP3 and integrin signaling",-0.311312203094124,0.72,0.873161906697835,"84525;2931;25776;5566;5747;5318;801;4633;59;2737;2697;4629;3751"
"NReproduction_Spermatogenesis, motility and copulation",-0.287459105767755,0.72,0.873161906697835,"207;2515;4240;29947;199720;773;655;5566;2879;5595;801;4609;657;3643;3479;3816;3880;3293;7043;652;7490"
"NSignal transduction_WNT signaling",-0.304219012895761,0.74,0.88146950184686,"7040;1869;5566;332;2335;5595;801;816;4609;7475;2775;8626;4316;6422;6300;7043;4313"
"NMuscle contraction_Nitric oxide signaling in the cardiovascular system",-0.343585849840072,0.76,0.892463340222419,"6262;487;112;207;5566;2101;801;4846;857;4843;775;5563;2118"
"NDevelopment_Neuromuscular junction",-0.317884910566165,0.76,0.892463340222419,"9341;1140;375790;1146;8910;5747;1285;5595;3913;1282;3675;8292;6855;3910"
"NCytoskeleton_Spindle microtubules",-0.284269818305818,0.76,0.892463340222419,"51361;3833;10376;10362;891;3835;4137;64682;699;10300;991;4085;9133;7272;5347;51807;113130;11065;9985;85378;1063;9700;22983;983;8626;4281"
"NInflammation_Interferon signaling",-0.281300227086804,0.78,0.903676085056802,"9636;3669;3665;3553;3430;6347;7076;5595;6373;2209;4843;8519;6354"
"NCell adhesion_Cell junctions",-0.338996171795146,0.78,0.903676085056802,"1501;58;3875;65266;51807;5872;5318;56288;5595;1013;421;1009;857;7082;3852;7122;3856;2697;1365;1825"
"NDevelopment_Neurogenesis in general",-0.295810166794115,0.8,0.913804327015125,"2535;4826;7021;4902;5050;135;1489;150;5764;27255;5026;8536;1282;3623;7475;2775;238;4192;5087;9915"
"NDevelopment_Regulation of telomere length",-0.377217634278524,0.82,0.924436885865457,"1736;7011;55505;25913;1026;7520;1019;7015;207;1869;6146;4609;9536"
"NApoptosis_Apoptotic mitochondria",-0.316054566689905,0.82,0.924436885865457,"56616;207;10922;1509;8739;1080;9616;10572;638;664;666"
"NSignal transduction_CREM pathway",-0.35421635960091,0.82,0.924436885865457,"5605;168448;997;7311;890;5864;207;6233;5566;148066;9501;5595;3623;94121;983;1636;2147"
"NInflammation_MIF signaling",-0.304208589830443,0.86,0.944456511734929,"7311;890;1019;3553;112;6233;3552;5566;7345;5595;9536;983;4843;5321;4314"
"NCell adhesion_Cadherins",-0.323665424688763,0.86,0.944456511734929,"1501;58;7408;54510;207;51807;23037;5797;5747;5318;1013;421;1009;3675;7475;7082;11075;5649;1825;1012;1006"
"NReproduction_Male sex differentiation",-0.313333148419118,0.86,0.944456511734929,"3005;5050;57082;207;51807;7040;773;6403;655;5566;4201;5595;801;4609;657;3643;3675;3479;10572;6414;983;8626;3293;7043;652;7490;1006"
"NInflammation_IL-13 signaling pathway",-0.322307249642456,0.92,0.963102298648886,"246;207;6347;3596;801;4609;6361;4843;383;3371;84666"
"NSignal transduction_Leptin signaling",-0.343834813109077,0.96,0.980964288772801,"3553;1052;207;6833;7076;2931;5566;3953;5321;9915;4313"
"NDevelopment_Keratinocyte differentiation",-0.345294489325768,0.98,0.988784035176729,"1475;846;7051"
"NImmune response_Phagocytosis",-0.309961592655835,0.98,0.988784035176729,"58;4360;135;7408;3985;4240;948;2207;10859;2335;4481;1535;2209;4843;2214;6300;1053;348;3929;4638;2206;2205"
"NCytoskeleton_Actin filaments",-0.32246308526993,1,1,"1308;9324;2934;7454;11133;288;29993;4867;5216;58;7408;6710;57381;3985;8910;822;7168;6624;5747;5595;6712;22885;7169;4633;6387;1264;54751;4629;4638"
